날짜, 미세먼지농도 (㎍/㎥),결과
2017-01-10,19,좋음
2017-01-11,20,좋음
2017-01-13,29,좋음
2017-01-14,40,보통
2017-01-20,20,좋음
2017-01-21,20,좋음
2017-01-27,25,좋음
2017-01-28,40,보통
2017-01-31,40,보통
2017-02-01,50,보통
2017-02-02,10,좋음
2017-02-03,22,좋음
2017-02-06,25,좋음
2017-02-07,27,좋음
2017-02-08,30,좋음
2017-02-09,41,보통
2017-02-10,42,보통
2017-02-11,19,좋음
2017-02-14,18,좋음
2017-02-15,20,좋음
2017-02-16,22,좋음
2017-02-17,43,보통
2017-02-22,43,보통
2017-02-23,41,보통
2017-02-24,20,좋음
2017-02-25,30,좋음
2017-02-26,35,보통
2017-02-27,37,보통
2017-03-01,38,보통
2017-03-02,39,보통
2017-03-03,29,좋음
2017-03-06,30,좋음
2017-03-07,40,보통
2017-03-08,41,보통
2017-03-09,20,좋음
2017-03-12,21,좋음
2017-03-13,22,좋음
2017-03-18,23,좋음
2017-03-19,30,좋음
2017-03-20,24,좋음
2017-03-21,25,좋음
2017-03-22,25,좋음
2017-03-23,30,좋음
2017-03-30,30,좋음
2017-03-31,30,좋음
2017-04-01,30,좋음
2017-04-02,24,좋음
2017-04-03,40,보통
2017-04-04,40,보통
2017-04-05,30,좋음
2017-04-06,35,보통
2017-04-07,35,보통
2017-04-08,35,보통
2017-04-09,36,보통
2017-04-10,20,좋음
2017-04-13,31,보통
2017-04-14,33,보통
2017-04-15,35,보통
2017-04-16,36,보통
2017-04-17,33,보통
2017-04-19,19,좋음
2017-04-20,40,보통
2017-04-21,9,좋음
2017-04-22,8,좋음
2017-04-23,14,좋음
2017-04-24,20,좋음
2017-05-01,25,좋음
2017-05-02,25,좋음
2017-05-03,40,보통
2017-05-04,41,보통
2017-05-05,29,좋음
2017-05-06,20,좋음
2017-05-11,34,보통
2017-05-12,35,보통
2017-05-13,39,보통
2017-05-19,38,보통
2017-05-20,15,좋음
2017-05-21,18,좋음
2017-05-22,9,좋음
2017-05-27,8,좋음
2017-05-28,7,좋음
2017-05-29,20,좋음
2017-05-30,21,좋음
2017-06-01,22,좋음
2017-06-02,30,좋음
2017-06-03,30,좋음
2017-06-07,31,보통
2017-06-11,15,좋음
2017-06-12,7,좋음
2017-06-13,9,좋음
2017-06-14,10,좋음
2017-06-18,22,좋음
2017-06-19,14,좋음
2017-06-20,15,좋음
2017-06-24,67,보통
2017-06-25,20,좋음
2017-06-26,10,좋음
2017-06-27,10,좋음
2017-06-28,13,좋음
2017-06-29,14,좋음
2017-06-30,17,좋음
2017-07-01,12,좋음
2017-07-02,48,보통
2017-07-06,30,좋음
2017-07-07,32,보통
2017-07-08,22,좋음
2017-07-09,21,좋음
2017-07-10,26,좋음
2017-07-15,28,좋음
2017-07-16,29,좋음
2017-07-17,15,좋음
2017-07-18,16,좋음
2017-07-19,19,좋음
2017-07-20,30,좋음
2017-07-26,30,좋음
2017-07-27,31,보통
2017-07-28,41,보통
2017-07-29,42,보통
2017-07-30,10,좋음
2017-07-31,12,좋음
2017-08-06,13,좋음
2017-08-07,9,좋음
2017-08-08,9,좋음
2017-08-10,5,좋음
2017-08-11,19,좋음
2017-08-16,20,좋음
2017-08-17,21,좋음
2017-08-18,31,보통
2017-08-19,22,좋음
2017-08-20,21,좋음
2017-08-23,18,좋음
2017-08-24,16,좋음
2017-08-28,16,좋음
2017-08-29,18,좋음
2017-08-31,20,좋음
2017-09-01,21,좋음
2017-09-02,22,좋음
2017-09-03,23,좋음
2017-09-04,30,좋음
2017-09-05,34,보통
2017-09-06,20,좋음
2017-09-09,30,좋음
2017-09-10,22,좋음
2017-09-11,10,좋음
2017-09-12,9,좋음
2017-09-13,9,좋음
2017-09-17,8,좋음
2017-09-18,10,좋음
2017-09-19,12,좋음
2017-09-20,23,좋음
2017-09-21,23,좋음
2017-09-24,23,좋음
2017-09-25,24,좋음
2017-09-26,15,좋음
2017-09-27,19,좋음
2017-09-28,37,보통
2017-09-29,27,좋음
2017-09-30,25,좋음
2017-10-01,28,좋음
2017-10-02,11,좋음
2017-10-03,35,보통
2017-10-04,39,보통
2017-10-05,18,좋음
2017-10-06,11,좋음
2017-10-07,13,좋음
2017-10-08,23,좋음
2017-10-09,26,좋음
2017-10-10,31,보통
2017-10-11,19,좋음
2017-10-12,16,좋음
2017-10-13,21,좋음
2017-10-14,23,좋음
2017-10-15,24,좋음
2017-10-16,25,좋음
2017-10-17,36,보통
2017-10-18,32,보통
2017-10-19,30,좋음
2017-10-20,27,좋음
2017-10-21,27,좋음
2017-10-22,19,좋음
2017-10-23,31,보통
2017-10-24,40,보통
2017-10-25,41,보통
2017-10-26,53,보통
2017-10-27,65,보통
2017-10-28,46,보통
2017-10-29,42,보통
2017-10-30,28,좋음
2017-10-31,36,보통
2017-11-01,42,보통
2017-11-02,45,보통
2017-11-03,39,보통
2017-11-04,73,보통
2017-11-05,44,보통
2017-11-06,41,보통
2017-11-07,46,보통
2017-11-08,62,보통
2017-11-09,34,보통
2017-11-10,51,보통
2017-11-11,59,보통
2017-11-12,40,보통
2017-11-13,39,보통
2017-11-14,47,보통
2017-11-15,34,보통
2017-11-16,29,좋음
2017-11-17,37,보통
2017-11-18,33,보통
2017-11-19,19,좋음
2017-11-20,35,보통
2017-11-21,40,보통
2017-11-22,60,보통
2017-11-23,19,좋음
2017-11-24,34,보통
2017-11-25,39,보통
2017-11-26,54,보통
2017-11-27,49,보통
2017-11-28,57,보통
2017-11-29,55,보통
2017-11-30,23,좋음
2017-12-01,25,좋음
2017-12-02,46,보통
2017-12-03,49,보통
2017-12-04,37,보통
2017-12-05,18,좋음
2017-12-06,48,보통
2017-12-07,49,보통
2017-12-08,18,좋음
2017-12-09,41,보통
2017-12-10,41,보통
2017-12-11,18,좋음
2017-12-12,19,좋음
2017-12-13,22,좋음
2017-12-14,28,좋음
2017-12-15,39,보통
2017-12-16,32,보통
2017-12-17,25,좋음
2017-12-18,45,보통
2017-12-19,36,보통
2017-12-20,35,보통
2017-12-21,31,보통
2017-12-22,48,보통
2017-12-23,64,보통
2017-12-24,35,보통
2017-12-25,28,좋음
2017-12-26,29,좋음
2017-12-27,19,좋음
2017-12-28,46,보통
2017-12-29,61,보통
2017-12-30,91,나쁨
2017-12-31,73,보통
